image_path,mask_path
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_0_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_0_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_0_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_0_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_100_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_100_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_100_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_100_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_101_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_101_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_101_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_101_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_102_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_102_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_102_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_102_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_103_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_103_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_103_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_103_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_104_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_104_coronal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_104_sagittal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_104_sagittal.nii
C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_img\013_positive_01013_1_2024-02-12_105_coronal.jpg,C:\Beyond_vision\semi_supervised learning GAN\semi_supervised learning GAN\dataset\0.05\labelled_msk\013_positive_01013_1_2024-02-12_105_coronal.nii
